9999.00,-39.60,-39.00,-38.40,-37.80,-37.20,-36.60,-36.00,-35.40,-34.80,-34.20,-33.60,-33.00,-32.40,-31.80,-31.20,-30.60,-30.00,-29.40,-28.80,-28.20,-27.60,-27.00,-26.40,-25.80,-25.20,-24.60,-24.00,-23.40,-22.80,-22.20,-21.60,-21.00,-20.40,-19.80,-19.20,-18.60,-18.00,-17.40,-16.80,-16.20,-15.60,-15.00,-14.40,-13.80,-13.20,-12.60,-12.00,-11.40,-10.80,-10.20,-9.60,-9.00,-8.40,-7.80,-7.20,-6.60,-6.00,-5.40,-4.80,-4.20,-3.60,-3.00,-2.40,-1.80,-1.20,-0.60,0.00,0.60,1.20,1.80,2.40,3.00,3.60,4.20,4.80,5.40,6.00,6.60,7.20,7.80,8.40,9.00,9.60,10.20,10.80,11.40,12.00,12.60,13.20,13.80,14.40,15.00,15.60,16.20,16.80,17.40,18.00,18.60,19.20,19.80,20.40,21.00,21.60,22.20,22.80,23.40,24.00,24.60,25.20,25.80,26.40,27.00,27.60,28.20,28.80,29.40,30.00
84.00,0.69,0.68,0.69,0.71,0.70,0.67,0.67,0.68,0.69,0.69,0.71,0.74,0.73,0.72,0.72,0.73,0.74,0.76,0.76,0.75,0.74,0.75,0.74,0.74,0.72,0.72,0.73,0.75,0.77,0.73,0.73,0.75,0.77,0.78,0.79,0.79,0.79,0.79,0.80,0.81,0.81,0.82,0.82,0.82,0.83,0.82,0.83,0.85,0.86,0.86,0.87,0.86,0.85,0.84,0.86,0.89,0.89,0.89,0.90,0.88,0.85,0.86,0.89,0.90,0.89,0.89,0.90,0.89,0.91,0.89,0.90,0.87,0.88,0.88,0.89,0.90,0.90,0.90,0.91,0.92,0.92,0.93,0.95,0.94,0.94,0.93,0.92,0.93,0.92,0.92,0.91,0.93,0.91,0.92,0.93,0.93,0.94,0.94,0.93,0.93,0.92,0.92,0.93,0.92,0.93,0.92,0.93,0.93,0.92,0.90,0.91,0.91,0.93,0.95,0.94,0.94,0.92
83.40,0.65,0.65,0.65,0.65,0.65,0.66,0.68,0.67,0.66,0.66,0.68,0.68,0.69,0.68,0.69,0.70,0.67,0.65,0.68,0.71,0.70,0.69,0.68,0.65,0.63,0.63,0.66,0.69,0.70,0.70,0.71,0.72,0.71,0.69,0.69,0.68,0.70,0.72,0.74,0.74,0.77,0.79,0.79,0.80,0.80,0.82,0.82,0.82,0.83,0.85,0.87,0.86,0.87,0.86,0.86,0.87,0.87,0.86,0.87,0.86,0.85,0.85,0.87,0.87,0.87,0.88,0.86,0.86,0.86,0.86,0.85,0.84,0.85,0.84,0.84,0.84,0.85,0.86,0.86,0.87,0.85,0.87,0.87,0.88,0.86,0.87,0.87,0.88,0.89,0.91,0.91,0.90,0.91,0.92,0.90,0.89,0.91,0.92,0.91,0.92,0.92,0.91,0.91,0.91,0.91,0.89,0.90,0.92,0.93,0.93,0.92,0.92,0.91,0.92,0.91,0.92,0.93
82.80,0.69,0.69,0.68,0.67,0.62,0.59,0.57,0.56,0.56,0.54,0.57,0.57,0.56,0.59,0.59,0.64,0.67,0.66,0.68,0.65,0.66,0.69,0.68,0.69,0.72,0.76,0.74,0.65,0.64,0.65,0.65,0.63,0.68,0.68,0.71,0.69,0.68,0.69,0.66,0.66,0.68,0.71,0.71,0.71,0.75,0.73,0.74,0.75,0.76,0.79,0.81,0.85,0.85,0.85,0.85,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.89,0.89,0.88,0.87,0.87,0.88,0.88,0.86,0.86,0.86,0.86,0.87,0.87,0.86,0.86,0.87,0.88,0.86,0.86,0.86,0.88,0.88,0.88,0.87,0.89,0.89,0.90,0.89,0.90,0.90,0.90,0.89,0.89,0.90,0.92,0.91,0.90,0.90,0.91,0.92,0.93,0.92,0.94,0.94,0.94,0.94,0.93,0.94,0.94,0.94,0.93,0.93,0.93,0.94,0.93
82.20,0.60,0.50,0.49,0.47,0.51,0.59,0.62,0.57,0.60,0.59,0.57,0.57,0.58,0.58,0.57,0.58,0.59,0.59,0.65,0.67,0.66,0.65,0.63,0.60,0.60,0.63,0.61,0.67,0.76,0.88,0.94,0.94,0.86,0.72,0.61,0.61,0.60,0.59,0.59,0.61,0.64,0.63,0.63,0.65,0.65,0.68,0.71,0.73,0.73,0.74,0.75,0.79,0.77,0.76,0.78,0.80,0.80,0.80,0.79,0.79,0.78,0.78,0.81,0.82,0.83,0.83,0.83,0.85,0.85,0.86,0.87,0.86,0.87,0.88,0.87,0.88,0.88,0.88,0.87,0.88,0.88,0.89,0.88,0.89,0.90,0.88,0.89,0.89,0.91,0.91,0.92,0.92,0.93,0.92,0.92,0.91,0.92,0.91,0.90,0.91,0.91,0.93,0.94,0.94,0.95,0.95,0.94,0.93,0.94,0.95,0.95,0.95,0.96,0.95,0.95,0.95,0.94
81.60,0.51,0.49,0.48,0.46,0.56,0.63,0.62,0.61,0.64,0.55,0.55,0.55,0.56,0.72,0.79,0.69,0.63,0.62,0.63,0.62,0.69,0.77,0.81,0.77,0.73,0.65,0.58,0.57,0.68,0.76,0.77,0.61,0.51,0.51,0.69,0.73,0.57,0.53,0.54,0.53,0.55,0.56,0.58,0.60,0.61,0.63,0.66,0.67,0.77,0.77,0.83,0.87,0.84,0.84,0.85,0.86,0.88,0.86,0.84,0.87,0.90,0.91,0.92,0.93,0.94,0.92,0.90,0.92,0.90,0.89,0.91,0.91,0.88,0.88,0.89,0.92,0.89,0.87,0.87,0.88,0.89,0.88,0.89,0.88,0.90,0.91,0.93,0.93,0.92,0.91,0.92,0.93,0.94,0.91,0.93,0.94,0.96,0.95,0.94,0.92,0.92,0.94,0.94,0.93,0.94,0.94,0.94,0.95,0.96,0.95,0.95,0.95,0.96,0.96,0.96,0.95,0.95
81.00,0.48,0.49,0.50,0.51,0.48,0.44,0.41,0.43,0.42,0.43,0.47,0.47,0.47,0.46,0.56,0.58,0.54,0.54,0.54,0.57,0.51,0.48,0.49,0.48,0.54,0.54,0.57,0.59,0.71,0.76,0.64,0.56,0.55,0.55,0.57,0.58,0.57,0.53,0.56,0.52,0.44,0.45,0.48,0.60,0.62,0.60,0.61,0.69,0.77,0.81,0.84,0.87,0.89,0.91,0.92,0.88,0.85,0.86,0.88,0.88,0.88,0.89,0.90,0.92,0.91,0.90,0.89,0.87,0.87,0.86,0.84,0.86,0.86,0.89,0.87,0.88,0.88,0.90,0.89,0.88,0.89,0.89,0.90,0.90,0.91,0.92,0.93,0.93,0.93,0.94,0.93,0.95,0.94,0.94,0.94,0.95,0.94,0.93,0.93,0.92,0.92,0.94,0.92,0.95,0.96,0.96,0.96,0.95,0.94,0.94,0.94,0.95,0.97,0.96,0.96,0.95,0.97
80.40,0.45,0.41,0.41,0.43,0.44,0.40,0.42,0.41,0.40,0.40,0.42,0.42,0.41,0.43,0.45,0.48,0.47,0.48,0.46,0.44,0.50,0.48,0.43,0.44,0.47,0.55,0.63,0.55,0.53,0.49,0.49,0.52,0.54,0.55,0.57,0.66,0.75,0.76,0.76,0.89,0.90,0.94,0.92,0.83,0.86,0.86,0.84,0.82,0.81,0.83,0.84,0.81,0.81,0.85,0.83,0.85,0.88,0.90,0.89,0.89,0.90,0.91,0.91,0.94,0.93,0.94,0.91,0.91,0.90,0.89,0.90,0.90,0.88,0.90,0.89,0.91,0.91,0.92,0.92,0.91,0.91,0.89,0.90,0.89,0.90,0.89,0.90,0.90,0.90,0.91,0.93,0.94,0.93,0.94,0.93,0.92,0.91,0.90,0.87,0.88,0.89,0.90,0.90,0.91,0.91,0.94,0.91,0.91,0.92,0.92,0.92,0.92,0.94,0.95,0.97,0.98,0.98
79.80,0.53,0.54,0.49,0.47,0.45,0.46,0.47,0.48,0.46,0.46,0.43,0.46,0.44,0.45,0.45,0.43,0.40,0.41,0.37,0.37,0.41,0.39,0.42,0.45,0.44,0.54,0.63,0.58,0.58,0.58,0.55,0.55,0.65,0.73,0.79,0.81,0.75,0.77,0.75,0.81,0.80,0.73,0.72,0.73,0.76,0.80,0.83,0.82,0.83,0.86,0.86,0.87,0.91,0.92,0.91,0.93,0.93,0.92,0.92,0.93,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.89,0.90,0.93,0.91,0.91,0.92,0.92,0.94,0.94,0.98,0.98,0.97,0.98,0.97,0.97,0.97,0.96,0.95,0.94,0.92,0.91,0.89,0.90,0.88,0.89,0.91,0.91,0.91,0.92,0.91,0.85,0.82,0.83,0.84,0.87,0.89,0.88,0.91,0.85,0.86,0.85,0.87,0.87,0.88,0.95,0.95,0.95,0.96,0.97
79.20,0.52,0.50,0.51,0.51,0.51,0.49,0.53,0.52,0.49,0.46,0.46,0.48,0.44,0.44,0.45,0.41,0.43,0.40,0.36,0.39,0.40,0.39,0.38,0.35,0.39,0.41,0.44,0.53,0.63,0.66,0.63,0.59,0.62,0.62,0.64,0.63,0.66,0.67,0.65,0.68,0.66,0.68,0.70,0.73,0.74,0.80,0.83,0.84,0.87,0.91,0.91,0.95,0.95,0.93,0.93,0.94,0.94,0.94,0.93,0.91,0.90,0.90,0.92,0.90,0.91,0.91,0.92,0.94,0.94,0.93,0.95,0.95,0.97,0.97,0.96,0.95,0.93,0.97,0.96,0.97,0.97,0.94,0.95,0.92,0.91,0.91,0.86,0.89,0.91,0.88,0.89,0.88,0.84,0.83,0.77,0.83,0.91,0.87,0.92,0.90,0.88,0.90,0.84,0.85,0.85,0.78,0.76,0.73,0.73,0.76,0.81,0.89,0.95,0.94,0.95,0.94,0.95
78.60,0.50,0.47,0.46,0.51,0.53,0.58,0.57,0.49,0.54,0.55,0.49,0.51,0.50,0.43,0.42,0.42,0.41,0.36,0.31,0.33,0.34,0.35,0.38,0.39,0.41,0.40,0.37,0.37,0.37,0.41,0.45,0.50,0.56,0.55,0.58,0.59,0.65,0.69,0.66,0.67,0.68,0.72,0.76,0.70,0.73,0.74,0.81,0.84,0.84,0.84,0.88,0.89,0.91,0.93,0.94,0.93,0.94,0.92,0.95,0.94,0.92,0.90,0.91,0.92,0.92,0.94,0.95,0.95,0.95,0.96,0.98,0.97,0.97,0.99,0.98,0.99,0.99,0.98,0.98,1.00,0.99,0.99,0.98,0.95,0.93,0.90,0.91,0.87,0.87,0.87,0.94,0.95,0.94,0.93,0.91,0.82,0.70,0.71,0.82,0.79,0.84,0.88,0.88,0.87,0.86,0.87,0.86,0.88,0.86,0.88,0.91,0.91,0.90,0.91,0.90,0.92,0.93
